feature,importance
num__int_rate,0.14282325043881855
num__loan_to_income,0.05792843325458335
num__installment_to_income,0.051646067090697266
num__sqrt_dti,0.050143831978836075
num__dti,0.04783091664631969
num__term,0.04536477645230124
cat__grade_A,0.04386266636613506
num__installment,0.03999481190414374
num__revol_util,0.038730397160241424
num__open_to_total_acc,0.036637106592946944
num__revol_balance_util,0.035648467094170994
num__revol_balance_to_income,0.03546766789074235
num__revol_bal,0.035057139578792376
num__loan_amnt,0.03489137592876459
num__log_annual_inc,0.032859251287354764
num__annual_inc,0.032257650941793004
num__total_acc,0.02594894918351602
num__open_acc,0.020967135286306636
cat__grade_E,0.01944263227412621
num__emp_length,0.0189373551883096
cat__home_ownership_RENT,0.013209633418878557
num__inq_last_6mths,0.011982442896564683
cat__grade_D,0.010872348002453834
cat__grade_B,0.009501730912106423
cat__grade_F,0.009133606399881523
cat__verification_status_Not Verified,0.00857246977175662
cat__grade_C,0.00816945621432469
num__recent_inquiry_flag,0.007980945144158423
cat__verification_status_Source Verified,0.007952926238031477
cat__home_ownership_MORTGAGE,0.007805130042276779
cat__purpose_debt_consolidation,0.005555606630766496
cat__verification_status_Verified,0.0047321398845349616
num__delinq_2yrs,0.0035736745020692635
num__pub_rec,0.0035436228824240177
cat__sub_grade_A1,0.0031716517354265536
cat__purpose_credit_card,0.0029169361181508066
cat__home_ownership_OWN,0.0019171458514580571
cat__sub_grade_C5,0.0018417937939560443
cat__sub_grade_B2,0.0017198800256347456
cat__grade_G,0.001668760473697099
cat__sub_grade_A5,0.0016075959805566232
cat__sub_grade_A4,0.0015184784146719285
cat__sub_grade_C1,0.0014803404740485868
cat__sub_grade_D3,0.001476848323656763
cat__sub_grade_C3,0.0014672811411401625
cat__sub_grade_E1,0.00138161176413611
cat__sub_grade_B1,0.0013549222332519114
cat__sub_grade_A2,0.001332214428157172
cat__sub_grade_B5,0.0012812534286012346
cat__sub_grade_C2,0.0012433888411725366
cat__sub_grade_C4,0.001175208538404151
cat__sub_grade_B4,0.0010401951000055247
cat__sub_grade_D5,0.00101946383578698
cat__sub_grade_E4,0.0010092408835487975
cat__sub_grade_D4,0.0009979350548928604
cat__sub_grade_B3,0.0009758840366476312
cat__sub_grade_D1,0.0009624222558172323
cat__sub_grade_D2,0.000919496933100357
cat__sub_grade_E3,0.0007834881209943556
cat__purpose_other,0.0006859354764508048
cat__sub_grade_E5,0.0006849481359700375
cat__sub_grade_F3,0.0006454448949758953
cat__purpose_small_business,0.0005866088506522993
cat__sub_grade_E2,0.000584546866246918
cat__purpose_home_improvement,0.0004892977759479703
cat__sub_grade_A3,0.0004806996393088536
cat__sub_grade_F2,0.0003297569140294629
cat__purpose_major_purchase,6.915667866831875e-05
cat__sub_grade_F1,5.374424642220172e-05
cat__sub_grade_F4,4.074693228208748e-05
cat__purpose_medical,3.930317672645398e-05
cat__purpose_vacation,1.2253945073578773e-05
cat__purpose_moving,8.503201203250903e-06
cat__home_ownership_ANY,0.0
cat__sub_grade_F5,0.0
cat__sub_grade_G1,0.0
cat__sub_grade_G2,0.0
cat__sub_grade_G3,0.0
cat__home_ownership_OTHER,0.0
cat__sub_grade_G4,0.0
cat__sub_grade_G5,0.0
cat__purpose_car,0.0
cat__purpose_house,0.0
cat__purpose_educational,0.0
cat__purpose_renewable_energy,0.0
cat__purpose_wedding,0.0
