n_estimators,max_depth,min_samples_leaf,max_features,val_auc,chosen_flag
200,,1,sqrt,0.6753336807086456,False
200,,1,0.5,0.6669235239889375,False
200,,20,sqrt,0.6924566114874344,False
200,,20,0.5,0.6875085173754459,False
200,,50,sqrt,0.6931620505831898,False
200,,50,0.5,0.6889644875546114,False
200,5.0,1,sqrt,0.6885546514890377,False
200,5.0,1,0.5,0.6883772896709286,False
200,5.0,20,sqrt,0.689578740630887,False
200,5.0,20,0.5,0.6891107860034471,False
200,5.0,50,sqrt,0.689803198524991,False
200,5.0,50,0.5,0.6887280051304662,False
200,10.0,1,sqrt,0.6918383502344784,False
200,10.0,1,0.5,0.6830915066736143,False
200,10.0,20,sqrt,0.6909335043488717,False
200,10.0,20,0.5,0.6854603390917472,False
200,10.0,50,sqrt,0.6936370195198205,False
200,10.0,50,0.5,0.6896027896909696,False
500,,1,sqrt,0.6767701110264941,False
500,,1,0.5,0.6704913022566035,False
500,,20,sqrt,0.6939135837107699,True
500,,20,0.5,0.688988536614694,False
500,,50,sqrt,0.6936821115074753,False
500,,50,0.5,0.6892801314681952,False
500,5.0,1,sqrt,0.6889815223055032,False
500,5.0,1,0.5,0.6895697222333561,False
500,5.0,20,sqrt,0.6890606837949416,False
500,5.0,20,0.5,0.6890516653974107,False
500,5.0,50,sqrt,0.6893382500300613,False
500,5.0,50,0.5,0.6890296204256682,False
500,10.0,1,sqrt,0.6920237284059481,False
500,10.0,1,0.5,0.6847559020401619,False
500,10.0,20,sqrt,0.6920618060844121,False
500,10.0,20,0.5,0.689270111026494,False
500,10.0,50,sqrt,0.6924606196641148,False
500,10.0,50,0.5,0.6896368591927531,False
